title,description,News Feed,Extraction Date,
In pictures: Bob Hoskins,Pictures from the life and career of Bob Hoskins who has died aged 71,BBC,4/30/2014,
In pictures: Desperate plight of Muslims in Myanmar camp,Myanmar's displaced Muslims fight to survive,BBC,4/30/2014,
Inmate dies in 'botched' execution,One of two death row prisoners who lost a case in the Oklahoma Supreme Court dies of a heart attack following an apparently botched lethal injection.,BBC,4/30/2014,
Iraq goes to polls amid violence,Iraqis are voting in the country's first parliamentary elections since the withdrawal of US troops three years ago.,BBC,4/30/2014,
Iraqi vote held in security lockdown,"Iraq holds its first parliamentary vote since the withdrawal of US troops three years ago, as at least 14 people are killed in sporadic violence.",BBC,4/30/2014,
Is this the most boring advert ever made?,Why is this camera advert 45 minutes long?,BBC,4/30/2014,
Is this the most boring advert ever made?,"Leica claims the advert for its new camera is the most boring of all time. Can tedium be an effective marketing tool, asks Jon Kelly.",BBC,4/30/2014,
Is this the most boring advert ever made?,"Leica claim the advert for their new camera is the most boring of all time. Can tedium be an effective marketing tool, asks Jon Kelly.",BBC,4/30/2014,
IT fault disrupts airports and ports,Passengers are facing disruption at airports and sea ports across the UK after an IT glitch resulted in lengthy queues at immigration desks.,BBC,4/30/2014,
Jeremy Paxman to quit Newsnight,"Jeremy Paxman announces he is quitting BBC Two's Newsnight after 25 years at the helm, saying he would ""like to go to bed at much the same time as most people"".",BBC,4/30/2014,
Jeremy Paxman to quit Newsnight,"Jeremy Paxman to quit BBC Two's Newsnight after 25 years, saying he would ""like to go to bed at much the same time as most people"".",BBC,4/30/2014,
Kiev 'helpless' in east Ukraine,Ukraine's acting President Olexander Turchynov admits his forces are helpless to quell unrest driven by pro-Russia activists in parts of the east.,BBC,4/30/2014,
Labour plan to cap rent increases,"Labour would limit annual rent increases in the private sector to give a ""fairer deal"" to tenants, leader Ed Miliband says.",BBC,4/30/2014,
Labour wants 'school standards tsars',"Labour is calling for a clearer structure for supervising different types of state-funded schools, including academies and free schools.",BBC,4/30/2014,
Man 'murdered westernised wife',"A mother of three from Manchester was murdered by her husband for becoming ""too westernised"" and ""establishing an independent life"", a jury is told.",BBC,4/30/2014,
Mansell leads tributes to Senna,"Nigel Mansell says Ayrton Senna will be remembered as a ""true thoroughbred racer"" on the 20th anniversary of his death.",BBC,4/30/2014,
Meeting Ukraine's little green men,Meeting Eastern Ukraine's little green men,BBC,4/30/2014,
Mesh network apps to the rescue,New apps let you keep chatting when communications are cut,BBC,4/30/2014,
Mini-strokes 'should not be ignored',"Those who ignore symptoms of a mini-stroke are running the risk of having a major stroke, the Stroke Association warns.",BBC,4/30/2014,
Mini-strokes 'should not be ignored',"Those who ignore symptoms of a TIA (transient ischaemic attack) or mini-stroke are running the risk of having a major stroke, the Stroke Association warns.",BBC,4/30/2014,
Modi accused of India poll violation,India's Election Commission accuses the main opposition BJP's prime ministerial candidate Narendra Modi of violating the election code.,BBC,4/30/2014,
Modi to vote in Indian election,"Narendra Modi, the man tipped to be India's next prime minister, is set to vote in his home state of Gujarat in the seventh phase of India's poll.",BBC,4/30/2014,
Morrisons cuts core product prices,"Struggling supermarket Morrisons announces it will cut prices by as much as 17% on some products, in a bid to win back customers.",BBC,4/30/2014,
Mourinho rues crucial Courtois impact,"Jose Mourinho says keeper Thibaut Courtois, on loan at Atletico Madrid from Chelsea, played a key role in the Blues' European exit.",BBC,4/30/2014,
Nigeria march over girls' abductions,Women in Nigeria march to demand that more be done to secure the release of 230 schoolgirls abducted by militants two weeks ago.,BBC,4/30/2014,
Obituary: Bob Hoskins,'You don't end up looking like me if you're a tough guy',BBC,4/30/2014,
Oil activity 'to stay at steady low',"Drilling and deal activity on the UK Continental Shelf will remain at ""a steady low"" for at least the next year, a report suggests.",BBC,4/30/2014,
On The Run notes 'may be withdrawn',"On the Run letters could be withdrawn if it is found they were sent in error, according to a key advisor to the attorney general.",BBC,4/30/2014,
O'Sullivan eases into World semis,Defending champion Ronnie O'Sullivan reaches the World Championship semi-finals with a 13-3 win over Shaun Murphy.,BBC,4/30/2014,
Pakistan 'failing' at-risk reporters,"Pakistan's authorities have ""almost completely failed"" to protect journalists, says human rights group Amnesty International in a new report.",BBC,4/30/2014,
Paxman's most famous encounters,Jeremy Paxman's most memorable Newsnight encounters,BBC,4/30/2014,
'Pay-by-size' for films in future,"The future of film releases will radically change in future as viewers pay according to the size of their screen, Dreamworks Animation's boss says.",BBC,4/30/2014,
Pharma buyout 'threat to research',Scientific bodies warn that the possible takeover of AstraZenica by US rival Pfizer may weaken Britain's science base.,BBC,4/30/2014,
PM's tribute to air crash servicemen,The prime minister pays tribute to two Welshmen killed in a helicopter accident in Afghanistan last weekend.,BBC,4/30/2014,
Prince announces UK arena tour,"Following a series of low key gigs, US singer Prince announces a run of UK arena dates.",BBC,4/30/2014,
'Question Time' day for MPs mooted,"All MPs should be questioned by their constituents twice a year to help public involvement in politics, a study suggests.",BBC,4/30/2014,
RAF squadron returns to Fife base,An RAF squadron returns to its base at Leuchars in Fife after a seven month deployment in Afghanistan.,BBC,4/30/2014,
Ratzenberger 'deserves Imola tribute',"Roland Ratzenberger deserves a permanent tribute at Imola alongside Ayrton Senna's, says former team-mate David Brabham.",BBC,4/30/2014,
Referendum debate 'needs to improve',"Both sides of the independence debate need to ""step up their game"" in the final months of the campaign, according a survey of Scottish businesses.",BBC,4/30/2014,
Republicans block minimum wage rise,"Senate Republicans block a Democratic-backed rise in the US minimum wage, as the two parties stake out positions ahead of November's election.",BBC,4/30/2014,
Robertson through as record breaker,Neil Robertson becomes the first player to make a hundred century breaks in a season in semi-final win at the Crucible.,BBC,4/30/2014,
Rogers inspires superb Middlesex win,Opener Chris Rogers' unbeaten 241 guides Middlesex to 472-3 and a remarkable seven-wicket victory over Yorkshire.,BBC,4/30/2014,
Severe weather threatens eastern US,"Severe weather threatens as many as 73 million Americans, after two days of powerful storms and tornadoes killed up to 34 people.",BBC,4/30/2014,
Slow user growth hits Twitter shares,"Shares in Twitter dropped to their lowest levels since the company's stock market flotation, as it reported slower than expected user growth.",BBC,4/30/2014,
Star Wars casting: Did fans feel the Force?,How did Star Wars fans react to casting news for Episode VII?,BBC,4/30/2014,
Stop and search to be overhauled,"A new code of practice for police stop and searches is to be introduced, the home secretary says, with the aim of cutting the number carried out.",BBC,4/30/2014,
Tearful Terry feels the pain of Chelsea exit,"A fifth Champions League semi-final loss proves hard to take for Chelsea and their inspirational leader John Terry, writes Ben Smith",BBC,4/30/2014,
Time football followed NBA's lead on hate - Amaechi,"The NBA's decisive action over racist comments by a team owner offers lessons that football urgently needs to follow, writes John Amaechi",BBC,4/30/2014,
Tube strike continues for commuters,Commuters are set to face further disruption getting into London as Tube workers carry out a second day of strike action.,BBC,4/30/2014,
Two dead in Vancouver mill shooting,Two people have died and two are injured after a former employee opened fire at a Vancouver-area lumber mill.,BBC,4/30/2014,
UK urged to rethink aid to Pakistan,"British aid to Pakistan should be cut unless there is ""clear evidence"" it is helping reduce Islamic extremism, MPs say.",BBC,4/30/2014,
UK urges swift Syria chlorine probe,"The UK has called on the global chemical weapons watchdog to carry out ""with urgency"" its investigation into the alleged use of chlorine in Syria.",BBC,4/30/2014,
US Fed continues to shrink stimulus,"The US Federal Reserve announces a further slowdown of its stimulus efforts, trimming its monthly bond-purchases by $10bn.",BBC,4/30/2014,
Venezuela raises minimum wage by 30%,Venezuelan President Nicolas Maduro announces a raise in the minimum wage and pensions of 30% ahead of the May Day celebrations.,BBC,4/30/2014,
VIDEO: Could wearable tech boost our output?,"A study carried out by Goldsmiths, University of London found that some wearable technology could boost productivity by 8%.",BBC,4/30/2014,
VIDEO: Farage: I did not bottle by-election,"Nigel Farage has insisted he did not ""bottle it"" by deciding not to run in the by-election to replace MP Patrick Mercer.",BBC,4/30/2014,
VIDEO: Farage: Newark 'seriously tempting',"Nigel Farage, the leader of UKIP, has said that he is ""tempted"" to stand as member of parliament in upcoming by-election.",BBC,4/30/2014,
VIDEO: House of Commons,The prime minister criticises the Labour leader for focusing on the sale of Royal Mail.,BBC,4/30/2014,
VIDEO: How 'Black Fives' changed basketball,The segregated past of basketball in the US,BBC,4/30/2014,
VIDEO: How 'Black Fives' led to racial integration in basketball,The segregated past of basketball in the US,BBC,4/30/2014,
VIDEO: Inmate 'spoke after lethal injection',A US death row inmate in Oklahoma died of a heart attack after his execution was halted because the lethal injection of three drugs failed to work properly.,BBC,4/30/2014,
